row_name,k,ratio_Time_sta,Cind,Distribution,ratio_the_dyn_YD_sta,ratio_YD_dyn_YD_sta
31,1,1.07333793,1.059235306,Uniform,0.999526775,0.999212835
32,1,1.039797404,1.059235306,Uniform,0.999526775,0.999212835
33,1,1.045640358,1.059235306,Uniform,0.999526775,0.999212835
34,1,1.041285721,1.059235306,Uniform,0.999526775,0.999212835
35,1,1.065869747,1.059235306,Uniform,0.999526775,0.999212835
36,1,1.064807953,1.059235306,Uniform,0.999526775,0.999212835
37,1,1.074786052,1.059235306,Uniform,0.999526775,0.999212835
38,1,1.089382052,1.059235306,Uniform,0.999526775,0.999212835
39,1,1.069512563,1.059235306,Uniform,0.999526775,0.999212835
40,1,1.052249501,1.059235306,Uniform,0.999526775,0.999212835
41,1,1.0691623,1.059235306,Uniform,0.999526775,0.999212835
42,1,1.029016118,1.059235306,Uniform,0.999526775,0.999212835
43,1,1.053627674,1.059235306,Uniform,0.999526775,0.999212835
44,1,1.046985332,1.059235306,Uniform,0.999526775,0.999212835
45,1,1.074537892,1.059235306,Uniform,0.999526775,0.999212835
46,1,1.038985188,1.059235306,Uniform,0.999526775,0.999212835
47,1,1.050122372,1.059235306,Uniform,0.999526775,0.999212835
48,1,1.080755477,1.059235306,Uniform,0.999526775,0.999212835
49,1,1.045766852,1.059235306,Uniform,0.999526775,0.999212835
50,1,1.071039983,1.059235306,Uniform,0.999526775,0.999212835
51,1,1.061366306,1.059235306,Uniform,0.999526775,0.999212835
52,1,1.020484412,1.059235306,Uniform,0.999526775,0.999212835
53,1,1.056714437,1.059235306,Uniform,0.999526775,0.999212835
54,1,1.028926669,1.059235306,Uniform,0.999526775,0.999212835
55,1,1.049149246,1.059235306,Uniform,0.999526775,0.999212835
56,1,1.056908423,1.059235306,Uniform,0.999526775,0.999212835
57,1,1.088648641,1.059235306,Uniform,0.999526775,0.999212835
58,1,1.033544808,1.059235306,Uniform,0.999526775,0.999212835
59,1,1.055881071,1.059235306,Uniform,0.999526775,0.999212835
